Age,With a spouse or common-law partner,Without a spouse or common-law partner
17 years of age or less,0,0
18 years of age,90,99
19 years of age,95,105
20 to 29 years of age,100,110
30 years of age,95,105
31 years of age,90,99
32 years of age,85,94
33 years of age,80,88
34 years of age,75,83
35 years of age,70,77
36 years of age,65,72
37 years of age,60,66
38 years of age,55,61
39 years of age,50,55
40 years of age,45,50
41 years of age,35,39
42 years of age,25,28
43 years of age,15,17
44 years of age,5,6
45 years of age or more,0,0
